製作日期: 2025-07-24 08:48:04,,,,篩選日期: 2025-05-19 00:00:00 ~ 2025-07-24 23:59:59,,,,,,
發文清單,,,,,,,,,,
共 47 件公文,,,,,,,,,,
序號,發文日期,公文日期,類別,字,文號,發文單位,受文單位,狀態,使用者確認,主旨
1,2025-07-23 14:15:48,中華民國114年7月23日,函,乾坤測,1140000121,乾坤測繪科技有限公司,"A15030200HU122000
(交通部公路局中區養護工程分局信義工務段)
",使用者確認,2025-07-23 15:05:33,"檢送「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第七期)」之台16線23K+500~25K+500、台21線74K+000~76K+500上邊坡特別檢測報告乙式，請查照。
"
2,2025-07-23 14:15:48,中華民國114年7月23日,函,乾坤測,1140000121,乾坤測繪科技有限公司,"A15030200HU121900
(交通部公路局中區養護工程分局埔里工務段)
",使用者確認,2025-07-23 15:05:56,"檢送「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第七期)」之台16線23K+500~25K+500、台21線74K+000~76K+500上邊坡特別檢測報告乙式，請查照。
"
3,2025-07-23 14:15:48,中華民國114年7月23日,函,乾坤測,1140000121,乾坤測繪科技有限公司,"A15030200H
(交通部公路局中區養護工程分局)
",使用者確認,2025-07-23 15:05:12,"檢送「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第七期)」之台16線23K+500~25K+500、台21線74K+000~76K+500上邊坡特別檢測報告乙式，請查照。
"
4,2025-07-14 16:13:20,中華民國114年7月14日,函,乾坤測,1140000118,乾坤測繪科技有限公司,"A15030200HU122000
(交通部公路局中區養護工程分局信義工務段)
",使用者確認,2025-07-14 17:47:59,"檢送「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第七期)」第一期估驗計價表乙式4份，請查照。
"
5,2025-07-14 10:01:24,中華民國114年7月14日,函,乾坤測,1140000117,乾坤測繪科技有限公司,"A15030200HU122000
(交通部公路局中區養護工程分局信義工務段)
",使用者確認,2025-07-14 10:49:29,"檢送「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第七期)」114年7月安全衛生協議組織會議紀錄1份，請查照。
"
6,2025-07-11 14:16:34,中華民國114年7月11日,函,乾坤測,1140000116,乾坤測繪科技有限公司,"A15030200HU122000
(交通部公路局中區養護工程分局信義工務段)
",使用者確認,2025-07-11 14:59:16,"有關貴段「114年第3次一般災害」明細資料，本公司已完成更新及上傳「省道邊坡全生命週期維護管理系統」，請查照。
"
7,2025-07-11 09:21:15,中華民國114年7月11日,開會通知單,乾坤測,1140000115,乾坤測繪科技有限公司,"A15030200HU122000
(交通部公路局中區養護工程分局信義工務段)
",使用者確認,2025-07-11 10:16:48,"「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第七期)」114年7月份安全衛生協議組織會議
"
8,2025-07-10 17:22:58,中華民國114年7月10日,函,乾坤測,1140000114,乾坤測繪科技有限公司,"380110000G
(桃園市政府工務局)
",使用者確認,2025-07-11 07:05:50,"檢送「桃園區同德十二街道路開闢工程」用地取得土地所有權人陳述意見回覆表1份，請查照。
"
9,2025-07-04 15:17:47,中華民國114年7月4日,函,乾坤測,1140000112,乾坤測繪科技有限公司,"380110000G
(桃園市政府工務局)
",使用者確認,2025-07-04 16:19:51,"檢送本公司辦理「112至113年度桃園市轄內興辦公共設施工程用地取得所需土地市價及地上物查估、測量作業暨相關計畫書製作委託專業服務(開口契約)」-派工單號099之桃園市「平鎮區金陵路五、六段替代道路新闢工程」內用地範圍土地徵收市價查估作業成果乙式，請查照。
"
10,2025-07-04 11:22:57,中華民國114年7月4日,函,乾坤測,1140000111,乾坤測繪科技有限公司,"A15030200HU122000
(交通部公路局中區養護工程分局信義工務段)
",使用者確認,2025-07-04 12:30:27,"檢送「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第七期)」之第二季評估報告(修正版)乙式，請查照。
"
11,2025-07-04 11:22:57,中華民國114年7月4日,函,乾坤測,1140000111,乾坤測繪科技有限公司,"A15030200H
(交通部公路局中區養護工程分局)
",使用者確認,2025-07-04 12:31:02,"檢送「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第七期)」之第二季評估報告(修正版)乙式，請查照。
"
12,2025-07-04 10:00:29,中華民國114年7月4日,函,乾坤測,1140000110,乾坤測繪科技有限公司,"380110000G
(桃園市政府工務局)
",使用者確認,2025-07-04 10:49:54,"檢送本公司辦理「112至113年度桃園市轄內興辦公共設施工程用地取得所需土地市價及地上物查估、測量作業暨相關計畫書製作委託專業服務(開口契約)」-派工單號096「大園區田溪路(華興路二段至聖德北路)道路拓寬工程」測量作業成果乙式，請查照。
"
13,2025-07-04 09:16:50,中華民國114年7月4日,函,乾坤測,1140000109,乾坤測繪科技有限公司,"376500700A
(嘉義縣竹崎地政事務所)
",使用者確認,2025-07-04 10:49:05,"貴所「114年度圖根點補建、新建作業」一案，本公司規劃於114年7月7日開工，建請准予備查，請查照。
"
14,2025-07-04 09:15:49,中華民國114年7月4日,函,乾坤測,1140000108,乾坤測繪科技有限公司,"376480000A
(南投縣政府)
",使用者確認,2025-07-04 10:17:48,"有關「114年度南投縣都市計畫樁位測補釘案委託技術服務案(開口契約)」第一次工作派工，本公司已於114年7月3日完成，檢送相關成果1份，請查照。
"
15,2025-07-04 09:15:49,中華民國114年7月4日,函,乾坤測,1140000108,乾坤測繪科技有限公司,"A01020100G
(內政部國土管理署城鄉發展分署)
",使用者確認,2025-07-04 09:58:12,"有關「114年度南投縣都市計畫樁位測補釘案委託技術服務案(開口契約)」第一次工作派工，本公司已於114年7月3日完成，檢送相關成果1份，請查照。
"
