製作日期: 2025-04-10 15:55:33,,,,篩選日期: 2025-01-01 00:00:00 ~ 2025-04-08 23:59:59,,,,,,
發文清單,,,,,,,,,,
共 48 件公文,,,,,,,,,,
序號,發文日期,公文日期,類別,字,文號,發文單位,受文單位,狀態,使用者確認,主旨
1,2025-04-08 17:00:29,中華民國114年4月8日,函,乾坤測,1140000056,乾坤測繪科技有限公司,"380110000G
(桃園市政府工務局)
",使用者確認,2025-04-09 07:01:49,"檢送本公司辦理桃園市「桃園區興二街」案內用地範圍桃園區會稽段386地號1筆土地協議價購市價查估作業修正後成果電子檔(以電子郵件方式提供)，請查照。
"
2,2025-04-07 14:13:17,中華民國114年4月7日,函,乾坤測,1140000054,乾坤測繪科技有限公司,"380110000G
(桃園市政府工務局)
",使用者確認,2025-04-07 15:07:23,"檢送本公司辦理「中壢區龍勇路(興元路至龍仁路)道路拓寬開闢」導線測量、1/500地形測量、橫斷面1/100測量作業成果(核定版)乙式，請查照。
"
3,2025-04-02 11:11:42,中華民國114年4月2日,函,乾坤測,1140000053,乾坤測繪科技有限公司,"380110000G
(桃園市政府工務局)
",使用者確認,2025-04-02 12:13:56,"檢送本公司辦理「八德區和強路(和平路至延平路)拓寬工程」協議價購市價查估作業修正後成果電子檔(以電子郵件方式提供)，請查照。
"
4,2025-04-02 09:52:59,中華民國114年4月2日,函,乾坤測,1140000052,乾坤測繪科技有限公司,"A15030200HU122000
(交通部公路局中區養護工程分局信義工務段)
",使用者確認,2025-04-02 10:33:24,"檢送「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第六期)」整年度綜合評估報告(修正版)乙式，請查照。
"
5,2025-04-02 09:52:59,中華民國114年4月2日,函,乾坤測,1140000052,乾坤測繪科技有限公司,"A15030200HU121900
(交通部公路局中區養護工程分局埔里工務段)
",使用者確認,2025-04-02 10:34:27,"檢送「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第六期)」整年度綜合評估報告(修正版)乙式，請查照。
"
6,2025-04-02 09:52:59,中華民國114年4月2日,函,乾坤測,1140000052,乾坤測繪科技有限公司,"A15030200H
(交通部公路局中區養護工程分局)
",使用者確認,2025-04-02 10:32:51,"檢送「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第六期)」整年度綜合評估報告(修正版)乙式，請查照。
"
7,2025-04-01 14:13:13,中華民國114年4月1日,函,乾坤測,1140000050,乾坤測繪科技有限公司,"380110000G
(桃園市政府工務局)
",使用者確認,2025-04-01 15:07:22,"檢送本公司辦理「112至113年度桃園市轄內興辦公共設施工程用地取得所需土地市價及地上物查估、測量作業暨相關計畫書製作委託專業服務(開口契約)」查估作業成果，詳如說明，請查照。
"
8,2025-03-31 14:29:29,中華民國114年3月31日,函,乾坤測,1140000049,乾坤測繪科技有限公司,"380110000G
(桃園市政府工務局)
",使用者確認,2025-03-31 15:20:34,"檢送本公司辦理桃園區「國強一街至文中路道路開闢工程」及「桃園區同德十二街道路開闢工程」市價查估作業修正後成果電子檔(以電子郵件方式提供)各1份，請查照。
"
9,2025-03-28 13:59:05,中華民國114年3月28日,函,乾坤測,1140000048,乾坤測繪科技有限公司,"380110000G
(桃園市政府工務局)
",使用者確認,2025-03-28 14:56:58,"檢送本公司辦理桃園市「大溪區大漢溪左岸新闢道路工程(15米)」工程內大溪區瑞興段622-1、615、778、775、776、772、771及1404地號等8筆土地協議市價查估作業修正後成果電子檔(以電子郵件方式提供)，請查照。
"
10,2025-03-28 13:57:58,中華民國114年3月28日,函,乾坤測,1140000047,乾坤測繪科技有限公司,"380110000G
(桃園市政府工務局)
",使用者確認,2025-03-28 14:56:58,"檢送本公司辦理「龜山區長慶一街(長慶一街至長庚路)道路開闢」案內桃園市龜山區樂捷段312-1、315-1地號及垹波段1031、1036地號等4筆土地協議價購市價查估作業修正後成果電子檔(以電子郵件方式提供)，請查照。
"
11,2025-03-28 10:12:08,中華民國114年3月28日,函,乾坤測,1140000044,乾坤測繪科技有限公司,"380110000G
(桃園市政府工務局)
",使用者確認,2025-03-28 11:09:46,"檢送本公司辦理桃園市楊梅區「新農街378巷13弄道路打通」案內用地範圍楊梅區大金山下段大金山下小段68-1地號1筆土地協議價購市價查估作業修正後成果電子檔(以電子郵件方式提供)，請查照。
"
12,2025-03-27 15:46:35,中華民國114年3月27日,函,乾坤測,1140000043,乾坤測繪科技有限公司,"380110000G
(桃園市政府工務局)
",使用者確認,2025-03-27 16:42:42,"檢送本公司辦理「桃園市蘆竹區南山段362地號土地」案之地上物查估成果報告書及電子檔(以電子郵件方式提供)各1份供審查，請查照。
"
13,2025-03-26 15:05:51,中華民國114年3月26日,函,乾坤測,1140000042,乾坤測繪科技有限公司,"380110000G
(桃園市政府工務局)
",使用者確認,2025-03-26 16:06:28,"檢送本公司辦理「112至113年度桃園市轄內興辦公共設施工程用地取得所需土地市價及地上物查估、測量作業暨相關計畫書製作委託專業服務(開口契約)」-派工單號082之「台31北延(南崁路二段至南工路一段)道路拓寬工程」控制測量、1/500地形測量、道路中心及路權樁放樣及導線測量作業成果乙式，請查照。
"
14,2025-03-26 15:04:52,中華民國114年3月26日,函,乾坤測,1140000041,乾坤測繪科技有限公司,"380110000G
(桃園市政府工務局)
",使用者確認,2025-03-26 16:06:28,"檢送本公司辦理「楊梅體育園區內通路(裕成南路至瑞溪路)道路工程」控制測量、1/500地形測量及導線測量作業成果(核定版)乙式，請查照。
"
15,2025-03-24 11:21:35,中華民國114年3月24日,函,乾坤測,1140000040,乾坤測繪科技有限公司,"380110000G
(桃園市政府工務局)
",使用者確認,2025-03-24 12:21:50,"檢送本公司辦理「112至113年度桃園市轄內興辦公共設施工程用地取得所需土地市價及地上物查估、測量作業暨相關計畫書製作委託專業服務(開口契約)」查估作業成果，詳如說明，請查照。
"
16,2025-03-19 11:36:14,中華民國114年3月19日,函,乾坤測,1140000039,乾坤測繪科技有限公司,"380110000G
(桃園市政府工務局)
",使用者確認,2025-03-19 12:38:07,"檢送本公司辦理「112至113年度桃園市轄內興辦公共設施工程用地取得所需土地市價及地上物查估、測量作業暨相關計畫書製作委託專業服務(開口契約)」-派工單號080之「中壢區龍勇路(興元路至龍仁路)道路拓寬開闢」導線測量、1/500地形測量、橫斷面1/100測量作業成果乙式，請查照。
"
17,2025-03-17 17:34:16,中華民國114年3月17日,函,乾坤測,1140000038,乾坤測繪科技有限公司,"380110000G
(桃園市政府工務局)
",使用者確認,2025-03-18 07:08:14,"檢送本公司辦理「112至113年度桃園市轄內興辦公共設施工程用地取得所需土地市價及地上物查估、測量作業暨相關計畫書製作委託專業服務(開口契約)」查估作業成果，詳如說明，請查照。
"
18,2025-03-17 16:02:44,中華民國114年3月17日,函,乾坤測,1140000036,乾坤測繪科技有限公司,"380110000G
(桃園市政府工務局)
",使用者確認,2025-03-17 16:54:24,"檢送本公司辦理「112至113年度桃園市轄內興辦公共設施工程用地取得所需土地市價及地上物查估、測量作業暨相關計畫書製作委託專業服務(開口契約)」查估作業成果電子檔，詳如說明二，請查照。
"
