製作日期: 2025-04-10 15:55:03,,,,篩選日期: 2025-01-01 00:17:00 ~ 2025-04-08 23:59:59,,,,,
收文清單,,,,,,,,,
共 97 件公文,,,,,,,,,
序號,收文日期,公文日期,類別,字,文號,主旨,發文單位,受文單位,狀態
1,2025-04-08 11:47:50,中華民國114年4月8日,函,桃工用,1140012435,"有關本市「桃園區興二街(興二街14巷至興二街)」用地協議價購市價查估報告書（修正版），請依本市桃園地政事務所意見再行修正，詳如說明，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
2,2025-04-08 10:26:23,中華民國114年4月8日,函,桃工用,1140011709,"有關本局委託貴公司辦理本市「新屋區中華南路(福九路至高鐵南路七段)道路拓寬工程」需用土地地上物查估作業，請再次檢視本市新屋區中華段171地號地上物，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
3,2025-04-07 10:29:25,中華民國114年4月2日,函,城管,1149002707,"有關「113年度南投縣都市計畫樁位測補釘案委託技術服務案（開口契約）」第5、6次工程派工測量成果驗收1案，如說明，請查照。
",內政部國土管理署城鄉發展分署,"EB50819619
乾坤測繪科技有限公司",收文完成
4,2025-04-01 12:34:27,中華民國114年4月1日,函,桃工用,1140011039,"檢送本局114年3月25日召開本市「八德區和強路（和平路至延平路）拓寬工程」用地取得協議價購市價審查會議紀錄1份，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
5,2025-04-01 11:37:06,中華民國114年4月1日,函,桃工用,1140011795,"有關貴公司提送「台31北延（南崁路二段至南工路一段）道路拓寬工程」控制測量、1/500地形測量測量、道路中心及路權樁放樣及導線測量作業成果一案，經審查尚符契約規定，本局原則同意核定，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
6,2025-04-01 11:36:57,中華民國114年4月1日,函,桃工用,1140011175,"有關貴公司提送「楊梅體育園區內通路(裕成南路至瑞溪路)道路工程」控制測量、1/500地形測量及導線測量作業成果(核定版)一案，經審查尚符審查後修正意見，本局原則同意核定，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
7,2025-04-01 11:36:47,中華民國114年4月1日,函,桃工用,1140011721,"有關貴公司提送「泰豐工商綜合區聯外道路案」控制測量、1/500地形量及導線測量作業成果(核定版)一案，經審查尚符契約規定，本局原則同意核定，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
8,2025-03-31 14:51:44,中華民國114年3月31日,開會通知單,桃工用,1140011040,"本市「桃園市平鎮東龍科技園區聯外道路拓寬工程」用地取得協議價購土地市價審查會議。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
9,2025-03-27 13:42:24,中華民國114年3月27日,函,桃工用,1140010732,"檢送有關本局辦理本市桃園區「國強一街至文中路道路開闢工程」及「同德十二街道路開闢工程」用地取得協議價購土地市價審查會議紀錄1份，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
10,2025-03-27 10:53:18,中華民國114年3月27日,函,中分局養,1145009754,"檢送本分局114年3月21日召開「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第六期)」整年度綜合評估建議報告審查會會議紀錄1份，請查照。
",交通部公路局中區養護工程分局,"EB50819619
乾坤測繪科技有限公司",收文完成
11,2025-03-27 10:13:52,中華民國114年3月27日,函,桃工用,1140010983,"有關貴公司檢送「中壢區龍勇路(興元路至龍仁路）道路拓寬開闢」導線測量、1/500地形測量、橫斷面1/100測量作業成果審查一案，詳如說明，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
12,2025-03-27 10:13:43,中華民國114年3月26日,函,桃工用,1140011090,"有關本局委託貴公司辦理本市「新屋區中華南路一段(福九路至高鐵南路七段)道路拓寬工程」需用土地地上物查估作業，請再次查估檢視本市新屋區中華段814地號地上物，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
13,2025-03-26 16:38:15,中華民國114年3月26日,開會通知單,桃工用,1140009911,"本市「八德區豐田路至捷運綠線G02站道路開闢工程」用地取得協議價購土地市價審查會議
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
