製作日期: 2025-06-19 15:49:22,,,,篩選日期: 2025-05-08 00:00:00 ~ 2025-06-19 23:59:59,,,,,,
發文清單,,,,,,,,,,
共 28 件公文,,,,,,,,,,
序號,發文日期,公文日期,類別,字,文號,發文單位,受文單位,狀態,使用者確認,主旨
1,2025-06-19 10:24:27,中華民國114年6月19日,函,乾坤測,1140000097,乾坤測繪科技有限公司,"A15030200HU122000
(交通部公路局中區養護工程分局信義工務段)
",使用者確認,2025-06-19 11:21:53,"檢送「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第七期)」114年6月安全衛生協議組織會議紀錄1份，請查照。
"
2,2025-06-18 13:07:15,中華民國114年6月18日,函,乾坤測,1140000096,乾坤測繪科技有限公司,"A15030200HU122000
(交通部公路局中區養護工程分局信義工務段)
",使用者確認,2025-06-18 13:56:54,"檢送「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第七期)」之汛期前綜合評估報告(修正版)乙式，請查照。
"
3,2025-06-17 12:54:17,中華民國114年6月17日,開會通知單,乾坤測,1140000095,乾坤測繪科技有限公司,"A15030200HU122000
(交通部公路局中區養護工程分局信義工務段)
",使用者確認,2025-06-17 13:31:43,"「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第七期)」114年6月份安全衛生協議組織會議
"
4,2025-06-17 09:29:58,中華民國114年6月17日,函,乾坤測,1140000094,乾坤測繪科技有限公司,"380110000G
(桃園市政府工務局)
",使用者確認,2025-06-17 10:27:40,"檢送「大漢溪左岸新闢道路工程」用地取得協議價購核章版不動產估價報告書1式3份，請查照。
"
5,2025-06-16 14:03:44,中華民國114年6月16日,函,乾坤測,1140000093,乾坤測繪科技有限公司,"A15030200HU122000
(交通部公路局中區養護工程分局信義工務段)
",使用者確認,2025-06-16 14:56:51,"檢送「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第七期)」之「邊坡檢測工作執行計畫」(核定版)1式5份，請查照。
"
6,2025-06-13 17:44:45,中華民國114年6月13日,函,乾坤測,1140000092,乾坤測繪科技有限公司,"A15030200HU121900
(交通部公路局中區養護工程分局埔里工務段)
",使用者確認,2025-06-16 09:54:03,"檢送「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第六期)」之「驗收缺失改善覆核報告」乙式，請查照。
"
7,2025-06-13 17:44:45,中華民國114年6月13日,函,乾坤測,1140000092,乾坤測繪科技有限公司,"A15030200H
(交通部公路局中區養護工程分局)
",使用者確認,2025-06-16 09:51:27,"檢送「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第六期)」之「驗收缺失改善覆核報告」乙式，請查照。
"
8,2025-06-12 09:59:39,中華民國114年6月12日,函,乾坤測,1140000091,乾坤測繪科技有限公司,"380110000G
(桃園市政府工務局)
",使用者確認,2025-06-12 11:12:04,"有關「112至113年度桃園市轄內興辦公共設施工程用地取得所需土地市價及地上物查估、測量作業暨相關計畫書製作委託專業服務(開口契約)」新增查估執行廠商一事，詳如說明，請查照。
"
9,2025-06-09 14:37:44,中華民國114年6月9日,函,乾坤測,1140000090,乾坤測繪科技有限公司,"A15030200HU122000
(交通部公路局中區養護工程分局信義工務段)
",使用者確認,2025-06-09 15:19:27,"檢送「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第七期)」之第二季評估報告乙式，請查照。
"
10,2025-06-04 14:57:36,中華民國114年6月4日,函,乾坤測,1140000089,乾坤測繪科技有限公司,"A15030200HU122000
(交通部公路局中區養護工程分局信義工務段)
",使用者確認,2025-06-04 15:44:50,"檢送「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第七期)」114年5月安全衛生協議組織會議紀錄1份，請查照。
"
11,2025-06-03 13:49:28,中華民國114年6月3日,函,乾坤測,1140000088,乾坤測繪科技有限公司,"A15030200HU122000
(交通部公路局中區養護工程分局信義工務段)
",使用者確認,2025-06-03 14:29:11,"檢送「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第七期)」之「邊坡口卡系統遠端建置工作」相關儀器規格確認單乙式，請查照。
"
12,2025-06-02 10:24:23,中華民國114年6月2日,函,乾坤測,1140000087,乾坤測繪科技有限公司,"380110000G
(桃園市政府工務局)
",使用者確認,2025-06-02 11:16:02,"檢送本公司辦理「龍潭區龍新路道路拓寬(直坑尾橋至三和段1240巷)」市價查估作業修正後成果電子檔(以電子郵件方式提供)，請查照。
"
13,2025-05-29 10:00:52,中華民國114年5月29日,函,乾坤測,1140000086,乾坤測繪科技有限公司,"A15030200HU122000
(交通部公路局中區養護工程分局信義工務段)
",使用者確認,2025-05-29 10:43:24,"檢送「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第七期)」之汛期前綜合評估報告乙式，請查照。
"
14,2025-05-27 14:01:37,中華民國114年5月27日,函,乾坤測,1140000085,乾坤測繪科技有限公司,"A15030200HU122000
(交通部公路局中區養護工程分局信義工務段)
",使用者確認,2025-05-27 14:44:58,"檢送「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第七期)」保險相關單據，如說明二，請查照。
"
15,2025-05-27 11:47:33,中華民國114年5月27日,函,乾坤測,1140000084,乾坤測繪科技有限公司,"A15030200HU122000
(交通部公路局中區養護工程分局信義工務段)
",使用者確認,2025-05-27 12:39:40,"檢送「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第七期)」開工報告書1式4份，請查照。
"
16,2025-05-27 11:47:33,中華民國114年5月27日,函,乾坤測,1140000084,乾坤測繪科技有限公司,"A15030200H
(交通部公路局中區養護工程分局)
",使用者確認,2025-05-27 12:39:56,"檢送「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第七期)」開工報告書1式4份，請查照。
"
17,2025-05-27 11:47:04,中華民國114年5月27日,函,乾坤測,1140000083,乾坤測繪科技有限公司,"A15030200HU122000
(交通部公路局中區養護工程分局信義工務段)
",使用者確認,2025-05-27 12:40:12,"檢送「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第七期)」保密協定及切結書1式4份，請查照。
"
18,2025-05-27 11:38:51,中華民國114年5月27日,函,乾坤測,1140000082,乾坤測繪科技有限公司,"A15030200HU122000
(交通部公路局中區養護工程分局信義工務段)
",使用者確認,2025-05-27 12:22:27,"檢送「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第七期)」人員清冊乙式，請查照。
"
19,2025-05-27 11:36:50,中華民國114年5月27日,函,乾坤測,1140000081,乾坤測繪科技有限公司,"A15030200HU122000
(交通部公路局中區養護工程分局信義工務段)
",使用者確認,2025-05-27 12:22:59,"檢送「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第七期)」職業安全衛生業務人員設置報備書乙式，請查照。
"
20,2025-05-26 15:24:37,中華民國114年5月26日,函,乾坤測,1140000080,乾坤測繪科技有限公司,"A15030200HU122000
(交通部公路局中區養護工程分局信義工務段)
",使用者確認,2025-05-26 16:04:34,"本公司承攬貴段「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第七期)」，其中無人機(UAV)航攝作業委任上升空間資訊股份有限公司進行相關作業，並檢附公司合作同意書與交通部民用航空局遙控無人機能力審查核准證明，請查照。
"
21,2025-05-26 15:17:18,中華民國114年5月26日,函,乾坤測,1140000079,乾坤測繪科技有限公司,"A15030200HU122000
(交通部公路局中區養護工程分局信義工務段)
",使用者確認,2025-05-26 16:05:05,"檢送「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第七期)」之施工風險評估報告乙式，請查照。
"
22,2025-05-26 15:06:47,中華民國114年5月26日,函,乾坤測,1140000078,乾坤測繪科技有限公司,"380110000G
(桃園市政府工務局)
",使用者確認,2025-05-26 16:10:42,"檢送本公司辦理「112至113年度桃園市轄內興辦公共設施工程用地取得所需土地市價及地上物查估、測量作業暨相關計畫書製作委託專業服務(開口契約)」-派工單號094之「泰豐工商綜合區聯外道路案」橫斷面1/100測量作業成果乙式，請查照。
"
23,2025-05-22 15:08:04,中華民國114年5月22日,函,乾坤測,1140000077,乾坤測繪科技有限公司,"380110000G
(桃園市政府工務局)
",使用者確認,2025-05-22 16:05:09,"檢送本公司辦理桃園市「八德區豐田路至捷運綠線G02站道路開闢工程」用地範圍土地協議價購市價查估作業修正後成果電子檔(以電子郵件方式提供)，請查照。
"
24,2025-05-21 12:20:24,中華民國114年5月21日,函,乾坤測,1140000076,乾坤測繪科技有限公司,"380110000G
(桃園市政府工務局)
",使用者確認,2025-05-21 13:17:02,"檢送本公司辦理「112至113年度桃園市轄內興辦公共設施工程用地取得所需土地市價及地上物查估、測量作業暨相關計畫書製作委託專業服務(開口契約)」第四批次驗收統計表及案件往來公文乙式，提請貴單位辦理本案驗收，請查照。
"
25,2025-05-21 11:19:25,中華民國114年5月21日,函,乾坤測,1140000075,乾坤測繪科技有限公司,"A15030200HU122000
(交通部公路局中區養護工程分局信義工務段)
",使用者確認,2025-05-21 12:01:54,"檢送「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第七期)」之「邊坡檢測工作執行計畫」1式6份，請查照。
"
26,2025-05-14 17:51:04,中華民國114年5月14日,函,乾坤測,1140000073,乾坤測繪科技有限公司,"A15030200HU121900
(交通部公路局中區養護工程分局埔里工務段)
",使用者確認,2025-05-14 18:33:55,"檢送「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第六期)」之營繕工程結算書1式4份，請查照。
"
27,2025-05-14 14:03:32,中華民國114年5月14日,函,乾坤測,1140000072,乾坤測繪科技有限公司,"380110000G
(桃園市政府工務局)
",使用者確認,2025-05-14 14:53:33,"檢送「擬定楊梅都市計畫(幼獅路一段東側產業遊樂區)細部計畫案」內仁美段936地號用地取得協議價購土地市價評估不動產價格變動意見書1份，請查照。
"
28,2025-05-12 15:46:19,中華民國114年5月12日,函,乾坤測,1140000071,乾坤測繪科技有限公司,"376480000A
(南投縣政府)
",使用者確認,2025-05-12 16:43:40,"檢送「113年度南投縣都市計畫樁位測補釘案委託技術服務案（開口契約）」全案結算數量表，惠請貴府辦理後續勞務驗收結算，請查照。
"
