製作日期: 2025-06-19 15:49:07,,,,篩選日期: 2025-05-08 00:00:00 ~ 2025-06-19 23:59:59,,,,,
收文清單,,,,,,,,,
共 42 件公文,,,,,,,,,
序號,收文日期,公文日期,類別,字,文號,主旨,發文單位,受文單位,狀態
1,2025-06-18 12:00:07,中華民國114年6月18日,函,桃工用,1140024090,"為貴公司承攬本局「八德區和強路(和平路至延平路)拓寬工程」內用地範圍八德區中華段1318地號等44筆土地協議價購市價查估及地上物查估作業，詳如說明，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
2,2025-06-17 16:03:45,中華民國114年6月17日,函,中分局單信,1145019389,"檢送本段114年5月27日召開「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第七期)」安全衛生協議組織會議紀錄及危害因素告知單各1份，業經本分局同意備查，請查照。
",交通部公路局中區養護工程分局信義工務段,"EB50819619
乾坤測繪科技有限公司",收文完成
3,2025-06-16 14:24:14,中華民國114年6月16日,函,中分局單信,1145019312,"檢送本段「114年第1、2次一般災害」明細資料1份，請於114年6月30日前完成上傳「省道邊坡全生命週期維護管理系統」，請查照。
",交通部公路局中區養護工程分局信義工務段,"EB50819619
乾坤測繪科技有限公司",收文完成
4,2025-06-16 12:07:24,中華民國114年6月16日,函,中分局養,1145018830B,"檢送「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第七期)」契約書副本1份，請派員監造，請查照。
",交通部公路局中區養護工程分局,"EB50819619
乾坤測繪科技有限公司",收文完成
5,2025-06-13 12:45:17,中華民國114年6月13日,函,中分局單信,1145019069,"有關所提「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第七期)」汛期前綜合評估報告一案，請依契約規定於7日內修正完成送段，詳如說明，請查照。
",交通部公路局中區養護工程分局信義工務段,"EB50819619
乾坤測繪科技有限公司",收文完成
6,2025-06-13 12:45:07,中華民國114年6月13日,函,中分局單信,1145019072,"檢送「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第七期)」第二季評估報告1份，請貴段惠予提供審查意見，請查照。
",交通部公路局中區養護工程分局信義工務段,"EB50819619
乾坤測繪科技有限公司",收文完成
7,2025-06-12 10:56:11,中華民國114年6月12日,函,中分局單信,1145018951,"有關所提「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第七期)」提送「邊坡口卡系統遠端建置工作」相關儀器規格確認單一案，本段同意核定，詳如說明，請查照。
",交通部公路局中區養護工程分局信義工務段,"EB50819619
乾坤測繪科技有限公司",收文完成
8,2025-06-12 10:56:02,中華民國114年6月12日,函,桃工用,1140023080,"為辦理本市「桃園區經國路208巷打通至南通路21巷」土地徵收查估市價提報本市地價及標準地價評議委員會評議一案，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
9,2025-06-12 10:30:53,中華民國114年6月12日,開會通知單,嘉竹地價,11400035661,"「114年度圖根點補建、新建作業」採購評審小組會議
",嘉義縣竹崎地政事務所,"EB50819619
乾坤測繪科技有限公司",收文完成
10,2025-06-11 17:36:30,中華民國114年6月11日,函,中分局單信,1145018776,"有關所提「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第七期)」無人機能力審查證明及無人機作業手冊一案，業經本分局同意備查，請查照。
",交通部公路局中區養護工程分局信義工務段,"EB50819619
乾坤測繪科技有限公司",收文完成
